who,what
0,LBE
0,11204
0,Brooklyn
1,BLACK
1,Cambria Heights
1,11411
1,WBE
1,MBE
2,Yorktown Heights
2,10598
2,BLACK
2,MBE
3,11561
3,BLACK
3,MBE
3,Long Beach
4,11235
4,Brooklyn
4,ASIAN
4,MBE
5,New York
5,10010
5,WBE
5,ASIAN
5,MBE
6,10026
6,New York
6,ASIAN
6,MBE
7,New York
7,BLACK
7,10026
7,MBE
8,10034
8,New York
8,MBE
8,HISPANIC
9,BLACK
9,10303
9,Staten Island
9,WBE
9,MBE
10,10018
10,New York
10,ASIAN
10,MBE
11,New York
11,HISPANIC
11,10034
11,WBE
11,MBE
12,New York
12,WBE
12,ASIAN
12,MBE
12,10013
13,Jamaica
13,BLACK
13,MBE
13,11434
14,NON-MINORITY
14,WBE
14,New York
14,10022
15,10304
15,BLACK
15,MBE
15,Staten Island
16,Bronx
16,BLACK
16,10454
16,MBE
17,New Rochelle
17,NON-MINORITY
17,WBE
17,10801
18,10301
18,NON-MINORITY
18,WBE
18,Staten Island
19,10006
19,NON-MINORITY
19,WBE
19,New York
20,Brooklyn
20,BLACK
20,11239
20,MBE
21,7035
21,Lincoln Park
21,MBE
21,HISPANIC
22,BLACK
22,New York
22,10027
22,WBE
22,MBE
23,10310
23,NON-MINORITY
23,WBE
23,Staten Island
24,New York
24,ASIAN
24,MBE
24,10013
25,NON-MINORITY
25,Cliffside Park
25,WBE
25,7010
26,10456
26,Bronx
26,BLACK
26,WBE
26,MBE
27,LBE
27,10003
27,New York
28,10303
28,Staten Island
28,MBE
28,HISPANIC
29,10001
29,New York
29,ASIAN
29,MBE
30,New York
30,11435
30,BLACK
30,MBE
31,Ozone Park
31,WBE
31,11417
32,Lawrence
32,11559
32,NON-MINORITY
32,WBE
33,LBE
33,Brooklyn
33,11230
33,ASIAN
33,MBE
34,11563
34,Lynbrook
34,MBE
34,HISPANIC
35,Newark
35,BLACK
35,MBE
35,7104
36,11356
36,NON-MINORITY
36,WBE
36,College Point
37,Berkeley Heights
37,7922
37,ASIAN
37,MBE
38,LBE
38,New York
38,HISPANIC
38,10040
38,WBE
38,MBE
39,East Elmhurst
39,11370
39,ASIAN
39,MBE
40,LBE
40,Astoria
40,11106
41,MBE
41,New York
41,HISPANIC
41,WBE
41,10001
42,LBE
42,Bronx
42,BLACK
42,10457
42,MBE
43,South Ozone Park
43,11420
43,BLACK
43,WBE
43,MBE
44,10920
44,Congers
44,ASIAN
44,MBE
45,Bronx
45,10456
45,BLACK
45,MBE
46,11219
46,Brooklyn
46,ASIAN
46,MBE
47,11360
47,ASIAN
47,MBE
47,Bayside
48,10001
48,NON-MINORITY
48,WBE
48,New York
49,10462
49,Bronx
49,MBE
49,HISPANIC
50,LBE
50,Bronx
50,BLACK
50,10470
50,MBE
51,11803
51,Plainview
51,ASIAN
51,MBE
52,Bronx
52,NON-MINORITY
52,WBE
52,10461
53,11726
53,NON-MINORITY
53,WBE
53,Copiague
54,NON-MINORITY
54,WBE
54,98229
54,Bellingham
55,Jamaica
55,11435
55,BLACK
55,MBE
56,11375
56,NON-MINORITY
56,WBE
56,Forest Hills
57,NON-MINORITY
57,10012
57,WBE
57,New York
58,LBE
58,Bronx
58,BLACK
58,10463
58,WBE
58,MBE
59,11706
59,Bay Shore
59,BLACK
59,MBE
60,NON-MINORITY
60,WBE
60,Montclair
60,7042
61,11101
61,NON-MINORITY
61,Elmhurst
61,WBE
62,11801
62,ASIAN
62,MBE
62,Hicksville
63,Westwood
63,7675
63,MBE
63,HISPANIC
64,10018
64,New York
64,ASIAN
64,MBE
65,LBE
65,Miller Place
65,11764
66,Jericho
66,ASIAN
66,MBE
66,11753
67,10107
67,NON-MINORITY
67,WBE
67,New York
68,Jamaica
68,BLACK
68,11432
68,MBE
69,Flushing
69,ASIAN
69,MBE
69,11367
70,BLACK
70,10019
70,New York
70,WBE
70,MBE
71,Richmond Hill
71,11418
71,WBE
71,ASIAN
71,MBE
72,Hempstead
72,11550
72,BLACK
72,MBE
73,Bronx
73,HISPANIC
73,10465
73,WBE
73,MBE
74,Croton-on-Hudson
74,10520
74,HISPANIC
74,WBE
74,MBE
75,New York
75,10010
75,MBE
75,HISPANIC
76,Bronx
76,NON-MINORITY
76,WBE
76,10461
77,NON-MINORITY
77,Mineola
77,WBE
77,11501
78,10550
78,Mount Vernon
78,ASIAN
78,MBE
79,10573
79,Port Chester
79,MBE
79,HISPANIC
80,NON-MINORITY
80,WBE
80,11566
80,Merrick
81,Long Island City
81,NON-MINORITY
81,11101
81,WBE
82,11208
82,Brooklyn
82,MBE
82,HISPANIC
83,11001
83,Floral Park
83,ASIAN
83,MBE
84,NON-MINORITY
84,WBE
84,10017
84,New York
85,NON-MINORITY
85,WBE
85,10017
85,New York
86,10016
86,New York
86,ASIAN
86,MBE
87,Bronx
87,10469
87,BLACK
87,MBE
88,10011
88,New York
88,ASIAN
88,MBE
89,Bronx
89,10466
89,BLACK
89,MBE
90,East Meadow
90,ASIAN
90,MBE
90,11554
91,NON-MINORITY
91,7712
91,WBE
91,Ocean Township
92,Bronx
92,ASIAN
92,MBE
92,10454
93,Flushing
93,NON-MINORITY
93,WBE
93,11366
94,NON-MINORITY
94,WBE
94,7004
94,Fairfield
95,10016
95,New York
95,WBE
95,ASIAN
95,MBE
96,Richmond Hill
96,ASIAN
96,MBE
96,11418
97,Brooklyn
97,BLACK
97,11216
97,MBE
98,New York
98,HISPANIC
98,WBE
98,MBE
98,10013
99,Bronx
99,10454
99,HISPANIC
99,WBE
99,MBE
